"subjects"	"S"	"instruction"	"R"	"rt"
"1201"	"1"	"left"	"speed"	"left"	0.650781869641846
"4393"	"1"	"left"	"accuracy"	"left"	1.50703536199785
"2017"	"1"	"left"	"speed"	"left"	0.707981930204777
"1765"	"1"	"right"	"accuracy"	"right"	3.47342247752497
"2209"	"1"	"left"	"speed"	"left"	1.50483830345336
"2809"	"1"	"left"	"accuracy"	"left"	2.07757239853168
"3217"	"1"	"left"	"speed"	"left"	2.34586747285528
"169"	"1"	"left"	"accuracy"	"left"	0.802049461240735
"229"	"1"	"right"	"accuracy"	"left"	0.972742521386926
"2977"	"1"	"left"	"speed"	"left"	1.20384905161631
"841"	"1"	"left"	"accuracy"	"left"	0.594526427888899
"1453"	"1"	"right"	"speed"	"left"	0.723855493194209
"4069"	"1"	"right"	"accuracy"	"right"	1.24717671396678
"5377"	"1"	"left"	"speed"	"left"	0.867144975522831
"3157"	"1"	"right"	"accuracy"	"right"	1.69370409096016
"973"	"1"	"right"	"speed"	"right"	1.71694001420295
"4813"	"1"	"right"	"speed"	"right"	0.917387156804509
"4177"	"1"	"left"	"speed"	"left"	0.609130791544601
"3277"	"1"	"right"	"speed"	"right"	1.17890716833487
"2305"	"1"	"left"	"speed"	"right"	0.756808140955062
"1393"	"1"	"left"	"speed"	"right"	2.19939803933235
"5197"	"1"	"right"	"speed"	"right"	0.916318538199165
"445"	"1"	"right"	"speed"	"right"	0.806787934240658
"37"	"1"	"right"	"accuracy"	"left"	1.08649036480571
"4225"	"1"	"left"	"speed"	"left"	2.3142416939097
"781"	"1"	"right"	"speed"	"right"	1.44687083970799
"2533"	"1"	"right"	"accuracy"	"left"	0.74890388794848
"73"	"1"	"left"	"accuracy"	"right"	2.11672393541293
"3601"	"1"	"left"	"speed"	"left"	0.617230766152222
"4489"	"1"	"left"	"accuracy"	"left"	0.637859140850663
"5137"	"1"	"left"	"speed"	"left"	1.50603081470419
"4561"	"1"	"left"	"speed"	"left"	0.722546699557696
"4729"	"1"	"left"	"accuracy"	"left"	0.622587701919945
"2113"	"1"	"left"	"speed"	"left"	1.27504654004453
"949"	"1"	"right"	"accuracy"	"right"	0.887902402544446
"385"	"1"	"left"	"speed"	"left"	1.36050639043312
"1645"	"1"	"right"	"speed"	"right"	0.907128486294649
"4033"	"1"	"left"	"speed"	"left"	0.557918115816597
"3001"	"1"	"left"	"accuracy"	"left"	2.01472796281342
"4309"	"1"	"right"	"accuracy"	"right"	1.37751389765475
"4741"	"1"	"right"	"accuracy"	"right"	1.20826390176363
"2509"	"1"	"right"	"speed"	"right"	1.15235489864902
"3793"	"1"	"left"	"speed"	"left"	0.736319144135996
"3073"	"1"	"left"	"speed"	"right"	0.611216400004358
"2245"	"1"	"right"	"accuracy"	"right"	1.44971337391923
"1321"	"1"	"left"	"accuracy"	"right"	1.79907681001773
"601"	"1"	"left"	"accuracy"	"left"	0.773311023415854
"3481"	"1"	"left"	"accuracy"	"left"	0.935502773550684
"3781"	"1"	"right"	"accuracy"	"right"	2.41870452669865
"541"	"1"	"right"	"speed"	"left"	1.06291731425966
"1249"	"1"	"left"	"speed"	"right"	0.608403920388476
"1081"	"1"	"left"	"accuracy"	"left"	1.66962240765671
"2629"	"1"	"right"	"accuracy"	"right"	1.28843793681948
"3697"	"1"	"left"	"speed"	"left"	0.736404659153453
"3733"	"1"	"right"	"accuracy"	"right"	1.3346486172787
"2845"	"1"	"right"	"speed"	"right"	0.541975034809822
"1177"	"1"	"left"	"accuracy"	"left"	0.86396853408083
"4369"	"1"	"left"	"speed"	"left"	2.74960803044814
"457"	"1"	"left"	"accuracy"	"right"	1.80687005069807
"3997"	"1"	"right"	"speed"	"left"	1.2683605730631
"25"	"1"	"left"	"accuracy"	"right"	0.935382647476245
"4465"	"1"	"left"	"speed"	"left"	2.41821769161472
"4417"	"1"	"left"	"speed"	"left"	0.913664517397271
"1813"	"1"	"right"	"accuracy"	"right"	1.46321140456512
"4237"	"1"	"right"	"speed"	"left"	1.37720483546262
"5329"	"1"	"left"	"speed"	"left"	0.700539510335717
"1357"	"1"	"right"	"speed"	"right"	0.63797822194998
"1561"	"1"	"left"	"accuracy"	"left"	1.03350546015396
"1369"	"1"	"left"	"accuracy"	"right"	0.693628865979638
"2617"	"1"	"left"	"accuracy"	"left"	1.06589173704807
"3169"	"1"	"left"	"speed"	"left"	0.739647321763027
"145"	"1"	"left"	"speed"	"left"	1.39544715846484
"1753"	"1"	"left"	"accuracy"	"left"	0.866005209072791
"3541"	"1"	"right"	"accuracy"	"right"	2.28752772399057
